1	53	100	297	397
2	192	180	602	551
3	392	120	604	536
4	551	100	638	512
5	731	299	306	876
6	1070	100	397	318
7	1329	179	249	223
8	1528	479	287	226
9	2027	778	84	210
10	3083	160	213	841
11	3701	120	214	887
12	3960	279	612	895
13	4339	179	653	415
14	4539	140	731	398
15	4758	160	943	892
16	4937	100	944	845
17	5137	100	109	445
18	5336	299	61	370
19	5735	299	734	376
20	6134	319	131	188
21	6532	179	303	169
22	6732	120	286	194
23	6911	598	77	200
24	7529	379	277	191
25	7928	718	309	194
26	8666	139	275	219
27	9024	299	73	223
28	9343	379	101	213
29	9762	339	263	202
30	10121	339	80	196
31	10480	518	288	192
32	11038	100	187	965
33	11158	638	169	891
34	11816	1276	269	874
35	13112	638	192	890
36	13770	120	179	854
37	13909	1037	168	835
38	15046	140	164	725
39	15405	120	115	577
40	15544	139	298	917
41	15704	439	303	891
42	16202	578	111	563
43	16800	339	138	557
44	17159	319	121	576
45	17498	199	107	558
46	17717	518	99	551
47	18595	379	118	587
48	18993	299	165	580
49	19312	259	198	637
50	19591	1037	178	643
51	20688	100	224	591
52	20947	159	234	614
53	21127	100	241	630
54	21326	399	203	596
55	21824	259	227	597
56	22104	299	244	589
57	22642	259	243	486
58	22921	100	235	478
59	23100	140	269	206
60	23399	698	83	188
61	24297	100	859	776
62	24436	339	934	853
63	24795	498	947	936
64	25313	359	994	935
65	25692	479	933	929
66	26191	100	949	838
67	26330	479	930	851
68	26829	100	927	860
69	26948	778	921	937
70	27746	439	928	872
71	28204	219	934	852
72	28444	339	933	857
73	28802	279	900	863
74	29102	299	916	866
75	29421	339	876	864
76	29879	399	908	844
77	30298	179	802	713
78	30776	439	901	838
79	31275	219	882	938
80	31574	120	967	910
81	31713	299	898	936
82	32032	778	887	868
83	32870	439	839	813
84	33328	120	887	701
85	33568	199	908	577
86	33787	219	912	800
87	34026	279	919	786
88	34365	319	919	537
89	34704	798	898	612
90	35521	140	926	609
91	35821	139	884	616
92	36120	239	892	558
93	36419	140	853	598
94	36578	937	856	598
95	37635	1216	956	604
96	38871	219	957	602
97	39110	100	957	638
98	39230	399	929	619
99	39708	319	945	622
100	40047	339	940	614
101	40466	179	941	612
102	40705	479	1025	514
103	41263	359	941	627
104	41642	140	927	622
105	41802	439	920	629
106	42320	419	1024	591
107	42759	160	1066	579
108	43038	279	919	628
109	43337	379	895	625
110	43756	159	1080	571
111	44015	219	1135	574
112	44493	100	986	594
113	44673	219	880	630
114	44952	339	227	602
115	45410	319	267	583
116	45769	120	259	585
117	45909	219	261	585
118	46148	239	263	586
119	46467	479	170	591
120	47185	140	224	597
121	47484	478	82	196
122	47982	179	103	176
123	48242	379	236	489
124	48640	279	169	381
125	48939	219	48	368
126	49179	179	112	384
127	49378	140	89	365
128	49557	160	689	405
129	49737	120	714	384
130	50136	180	135	171
131	50335	180	114	192
132	50534	618	74	196
133	51232	179	146	609
134	51431	180	75	548
135	51731	180	254	488
136	51930	299	173	598
137	52269	140	103	201
138	52428	399	102	191
139	52847	319	280	193
140	53186	120	311	202
141	53326	279	205	556
142	53625	180	168	611
143	53824	379	169	616
144	54223	738	90	536
145	55020	100	300	223
146	55140	159	323	179
147	55319	419	296	194
148	55898	319	873	520
149	56336	120	788	482
150	56476	120	794	496
151	56675	100	872	614
152	56795	120	869	616
153	57173	140	934	457
